season,date,local_time,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_result
2024-25,2024-10-02,,"League, Matchday 2",Liverpool FC,Bologna FC 1909,2,0,1,0,H
2024-25,2024-10-02,,"League, Matchday 2",RB Leipzig,Juventus FC,2,3,1,0,A
2024-25,2024-10-02,,"League, Matchday 2",Sport Lisboa e Benfica,Club Atlético de Madrid,4,0,1,0,H
2024-25,2024-10-02,,"League, Matchday 2",GNK Dinamo Zagreb,AS Monaco FC,2,2,1,0,D
2024-25,2024-10-02,,"League, Matchday 2",Lille OSC,Real Madrid CF,1,0,1,0,H
2024-25,2024-10-22,18:45,"League, Matchday 3",AS Monaco FC,FK Crvena Zvezda,5,1,2,1,H
2024-25,2024-10-22,,"League, Matchday 3",AC Milan,Club Brugge KV,3,1,1,0,H
2024-25,2024-10-22,21:00,"League, Matchday 3",Aston Villa FC,Bologna FC 1909,2,0,0,0,H
2024-25,2024-10-22,,"League, Matchday 3",Girona FC,ŠK Slovan Bratislava,2,0,1,0,H
2024-25,2024-10-22,,"League, Matchday 3",SK Sturm Graz,Sporting Clube de Portugal,0,2,0,1,A
2024-25,2024-10-22,,"League, Matchday 3",Paris Saint-Germain FC,PSV,1,1,0,1,D
2024-25,2024-10-22,,"League, Matchday 3",Real Madrid CF,Borussia Dortmund,5,2,0,2,H
2024-25,2024-10-22,,"League, Matchday 3",Arsenal FC,FK Shakhtar Donetsk,1,0,1,0,H
2024-25,2024-10-22,,"League, Matchday 3",Juventus FC,VfB Stuttgart,0,1,0,0,A
2024-25,2024-10-23,18:45,"League, Matchday 3",Stade Brestois 29,Bayer 04 Leverkusen,1,1,1,1,D
2024-25,2024-10-23,,"League, Matchday 3",Atalanta BC,Celtic FC,0,0,,,D
2024-25,2024-10-23,21:00,"League, Matchday 3",BSC Young Boys,FC Internazionale Milano,0,1,0,0,A
2024-25,2024-10-23,,"League, Matchday 3",FC Barcelona,FC Bayern München,4,1,3,1,H
2024-25,2024-10-23,,"League, Matchday 3",Manchester City FC,AC Sparta Praha,5,0,1,0,H
2024-25,2024-10-23,,"League, Matchday 3",RB Leipzig,Liverpool FC,0,1,0,1,A
2024-25,2024-10-23,,"League, Matchday 3",Club Atlético de Madrid,Lille OSC,1,3,1,0,A
2024-25,2024-10-23,,"League, Matchday 3",Sport Lisboa e Benfica,Feyenoord Rotterdam,1,3,0,2,A
2024-25,2024-10-23,,"League, Matchday 3",FC Red Bull Salzburg,GNK Dinamo Zagreb,0,2,0,0,A
2024-25,2024-11-05,18:45,"League, Matchday 4",ŠK Slovan Bratislava,GNK Dinamo Zagreb,1,4,1,2,A
2024-25,2024-11-05,,"League, Matchday 4",PSV,Girona FC,4,0,2,0,H
2024-25,2024-11-05,21:00,"League, Matchday 4",Sporting Clube de Portugal,Manchester City FC,4,1,1,1,H
2024-25,2024-11-05,,"League, Matchday 4",Bologna FC 1909,AS Monaco FC,0,1,0,0,A
2024-25,2024-11-05,,"League, Matchday 4",Borussia Dortmund,SK Sturm Graz,1,0,0,0,H
2024-25,2024-11-05,,"League, Matchday 4",Liverpool FC,Bayer 04 Leverkusen,4,0,0,0,H
2024-25,2024-11-05,,"League, Matchday 4",Real Madrid CF,AC Milan,1,3,1,2,A
2024-25,2024-11-05,,"League, Matchday 4",Celtic FC,RB Leipzig,3,1,2,1,H
2024-25,2024-11-05,,"League, Matchday 4",Lille OSC,Juventus FC,1,1,1,0,D
2024-25,2024-11-06,18:45,"League, Matchday 4",Club Brugge KV,Aston Villa FC,1,0,0,0,H
2024-25,2024-11-06,,"League, Matchday 4",FK Shakhtar Donetsk,BSC Young Boys,2,1,2,1,H
2024-25,2024-11-06,21:00,"League, Matchday 4",AC Sparta Praha,Stade Brestois 29,1,2,0,1,A
2024-25,2024-11-06,,"League, Matchday 4",VfB Stuttgart,Atalanta BC,0,2,0,0,A
2024-25,2024-11-06,,"League, Matchday 4",FC Internazionale Milano,Arsenal FC,1,0,1,0,H
2024-25,2024-11-06,,"League, Matchday 4",Paris Saint-Germain FC,Club Atlético de Madrid,1,2,1,1,A
2024-25,2024-11-06,,"League, Matchday 4",Feyenoord Rotterdam,FC Red Bull Salzburg,1,3,0,1,A
2024-25,2024-11-06,,"League, Matchday 4",FK Crvena Zvezda,FC Barcelona,2,5,1,2,A
2024-25,2024-11-06,21:15,"League, Matchday 4",FC Bayern München,Sport Lisboa e Benfica,1,0,0,0,H
2024-25,2024-11-26,18:45,"League, Matchday 5",ŠK Slovan Bratislava,AC Milan,2,3,1,1,A
2024-25,2024-11-26,,"League, Matchday 5",AC Sparta Praha,Club Atlético de Madrid,0,6,0,2,A
2024-25,2024-11-26,21:00,"League, Matchday 5",Sporting Clube de Portugal,Arsenal FC,1,5,0,3,A
2024-25,2024-11-26,,"League, Matchday 5",BSC Young Boys,Atalanta BC,1,6,1,4,A
2024-25,2024-11-26,,"League, Matchday 5",FC Bayern München,Paris Saint-Germain FC,1,0,1,0,H
2024-25,2024-11-26,,"League, Matchday 5",FC Barcelona,Stade Brestois 29,3,0,1,0,H
2024-25,2024-11-26,,"League, Matchday 5",FC Internazionale Milano,RB Leipzig,1,0,1,0,H
2024-25,2024-11-26,,"League, Matchday 5",Manchester City FC,Feyenoord Rotterdam,3,3,1,0,D
2024-25,2024-11-26,,"League, Matchday 5",Bayer 04 Leverkusen,FC Red Bull Salzburg,5,0,3,0,H
2024-25,2024-11-27,18:45,"League, Matchday 5",SK Sturm Graz,Girona FC,1,0,0,0,H
2024-25,2024-11-27,,"League, Matchday 5",FK Crvena Zvezda,VfB Stuttgart,5,1,2,1,H
2024-25,2024-11-27,21:00,"League, Matchday 5",AS Monaco FC,Sport Lisboa e Benfica,2,3,1,0,A
2024-25,2024-11-27,,"League, Matchday 5",Aston Villa FC,Juventus FC,0,0,,,D
2024-25,2024-11-27,,"League, Matchday 5",Bologna FC 1909,Lille OSC,1,2,0,1,A
2024-25,2024-11-27,,"League, Matchday 5",Liverpool FC,Real Madrid CF,2,0,0,0,H
2024-25,2024-11-27,,"League, Matchday 5",Celtic FC,Club Brugge KV,1,1,0,1,D
2024-25,2024-11-27,,"League, Matchday 5",GNK Dinamo Zagreb,Borussia Dortmund,0,3,0,1,A
2024-25,2024-11-27,,"League, Matchday 5",PSV,FK Shakhtar Donetsk,3,2,0,2,H
2024-25,2024-12-10,18:45,"League, Matchday 6",Girona FC,Liverpool FC,0,1,0,0,A
2024-25,2024-12-10,,"League, Matchday 6",GNK Dinamo Zagreb,Celtic FC,0,0,,,D
2024-25,2024-12-10,21:00,"League, Matchday 6",Stade Brestois 29,PSV,1,0,1,0,H
2024-25,2024-12-10,,"League, Matchday 6",RB Leipzig,Aston Villa FC,2,3,1,1,A
2024-25,2024-12-10,,"League, Matchday 6",Atalanta BC,Real Madrid CF,2,3,1,1,A
2024-25,2024-12-10,,"League, Matchday 6",Bayer 04 Leverkusen,FC Internazionale Milano,1,0,0,0,H
2024-25,2024-12-10,,"League, Matchday 6",Club Brugge KV,Sporting Clube de Portugal,2,1,1,1,H
2024-25,2024-12-10,,"League, Matchday 6",FK Shakhtar Donetsk,FC Bayern München,1,5,1,2,A
2024-25,2024-12-10,,"League, Matchday 6",FC Red Bull Salzburg,Paris Saint-Germain FC,0,3,0,1,A
2024-25,2024-12-11,18:45,"League, Matchday 6",Club Atlético de Madrid,ŠK Slovan Bratislava,3,1,2,0,H
2024-25,2024-12-11,,"League, Matchday 6",Lille OSC,SK Sturm Graz,3,2,2,1,H
2024-25,2024-12-11,21:00,"League, Matchday 6",VfB Stuttgart,BSC Young Boys,5,1,1,1,H
2024-25,2024-12-11,,"League, Matchday 6",Borussia Dortmund,FC Barcelona,2,3,0,0,A
2024-25,2024-12-11,,"League, Matchday 6",AC Milan,FK Crvena Zvezda,2,1,1,0,H
2024-25,2024-12-11,,"League, Matchday 6",Sport Lisboa e Benfica,Bologna FC 1909,0,0,,,D
2024-25,2024-12-11,,"League, Matchday 6",Arsenal FC,AS Monaco FC,3,0,1,0,H
2024-25,2024-12-11,,"League, Matchday 6",Juventus FC,Manchester City FC,2,0,0,0,H
2024-25,2024-12-11,,"League, Matchday 6",Feyenoord Rotterdam,AC Sparta Praha,4,2,3,1,H
2024-25,2025-01-21,18:45,"League, Matchday 7",AS Monaco FC,Aston Villa FC,1,0,1,0,H
2024-25,2025-01-21,,"League, Matchday 7",Atalanta BC,SK Sturm Graz,5,0,1,0,H
2024-25,2025-01-21,21:00,"League, Matchday 7",Bologna FC 1909,Borussia Dortmund,2,1,0,1,H
2024-25,2025-01-21,,"League, Matchday 7",ŠK Slovan Bratislava,VfB Stuttgart,1,3,0,2,A
2024-25,2025-01-21,,"League, Matchday 7",Liverpool FC,Lille OSC,2,1,1,0,H
2024-25,2025-01-21,,"League, Matchday 7",Club Atlético de Madrid,Bayer 04 Leverkusen,2,1,0,1,H
2024-25,2025-01-21,,"League, Matchday 7",Sport Lisboa e Benfica,FC Barcelona,4,5,3,1,A
2024-25,2025-01-21,,"League, Matchday 7",Club Brugge KV,Juventus FC,0,0,,,D
2024-25,2025-01-21,,"League, Matchday 7",FK Crvena Zvezda,PSV,2,3,0,3,A
2024-25,2025-01-22,18:45,"League, Matchday 7",RB Leipzig,Sporting Clube de Portugal,2,1,1,0,H
2024-25,2025-01-22,,"League, Matchday 7",FK Shakhtar Donetsk,Stade Brestois 29,2,0,2,0,H
2024-25,2025-01-22,21:00,"League, Matchday 7",AC Sparta Praha,FC Internazionale Milano,0,1,0,1,A
2024-25,2025-01-22,,"League, Matchday 7",Paris Saint-Germain FC,Manchester City FC,4,2,0,0,H
2024-25,2025-01-22,,"League, Matchday 7",Real Madrid CF,FC Red Bull Salzburg,5,1,2,0,H
2024-25,2025-01-22,,"League, Matchday 7",AC Milan,Girona FC,1,0,1,0,H
2024-25,2025-01-22,,"League, Matchday 7",Arsenal FC,GNK Dinamo Zagreb,3,0,1,0,H
2024-25,2025-01-22,,"League, Matchday 7",Celtic FC,BSC Young Boys,1,0,0,0,H
2024-25,2025-01-22,,"League, Matchday 7",Feyenoord Rotterdam,FC Bayern München,3,0,2,0,H
2024-25,2025-01-29,21:00,"League, Matchday 8",Sporting Clube de Portugal,Bologna FC 1909,1,1,0,1,D
2024-25,2025-01-29,,"League, Matchday 8",BSC Young Boys,FK Crvena Zvezda,0,1,0,0,A
2024-25,2025-01-29,,"League, Matchday 8",Aston Villa FC,Celtic FC,4,2,2,2,H
2024-25,2025-01-29,,"League, Matchday 8",Girona FC,Arsenal FC,1,2,1,2,A
2024-25,2025-01-29,,"League, Matchday 8",Stade Brestois 29,Real Madrid CF,0,3,0,1,A
2024-25,2025-01-29,,"League, Matchday 8",SK Sturm Graz,RB Leipzig,1,0,1,0,H
2024-25,2025-01-29,,"League, Matchday 8",VfB Stuttgart,Paris Saint-Germain FC,1,4,0,3,A
2024-25,2025-01-29,,"League, Matchday 8",FC Bayern München,ŠK Slovan Bratislava,3,1,1,0,H
2024-25,2025-01-29,,"League, Matchday 8",Borussia Dortmund,FK Shakhtar Donetsk,3,1,2,0,H
2024-25,2025-01-29,,"League, Matchday 8",FC Barcelona,Atalanta BC,2,2,0,0,D
2024-25,2025-01-29,,"League, Matchday 8",FC Internazionale Milano,AS Monaco FC,3,0,2,0,H
2024-25,2025-01-29,,"League, Matchday 8",Manchester City FC,Club Brugge KV,3,1,0,1,H
2024-25,2025-01-29,,"League, Matchday 8",Bayer 04 Leverkusen,AC Sparta Praha,2,0,1,0,H
2024-25,2025-01-29,,"League, Matchday 8",Juventus FC,Sport Lisboa e Benfica,0,2,0,1,A
2024-25,2025-01-29,,"League, Matchday 8",GNK Dinamo Zagreb,AC Milan,2,1,1,0,H
2024-25,2025-01-29,,"League, Matchday 8",Lille OSC,Feyenoord Rotterdam,6,1,2,1,H
2024-25,2025-01-29,,"League, Matchday 8",PSV,Liverpool FC,3,2,3,2,H
2024-25,2025-01-29,,"League, Matchday 8",FC Red Bull Salzburg,Club Atlético de Madrid,1,4,0,3,A
2024-25,2025-02-11,18:45,"Playoffs, Matchday 1",Stade Brestois 29,Paris Saint-Germain FC,0,3,0,2,A
2024-25,2025-02-11,21:00,"Playoffs, Matchday 1",Manchester City FC,Real Madrid CF,2,3,1,0,A
2024-25,2025-02-11,,"Playoffs, Matchday 1",Juventus FC,PSV,2,1,1,0,H
2024-25,2025-02-11,,"Playoffs, Matchday 1",Sporting Clube de Portugal,Borussia Dortmund,0,3,0,0,A
2024-25,2025-02-12,18:45,"Playoffs, Matchday 1",Club Brugge KV,Atalanta BC,2,1,1,1,H
2024-25,2025-02-12,21:00,"Playoffs, Matchday 1",AS Monaco FC,Sport Lisboa e Benfica,0,1,0,0,A
2024-25,2025-02-12,,"Playoffs, Matchday 1",Celtic FC,FC Bayern München,1,2,0,1,A
2024-25,2025-02-12,,"Playoffs, Matchday 1",Feyenoord Rotterdam,AC Milan,1,0,1,0,H
2024-25,2025-02-18,18:45,"Playoffs, Matchday 2",AC Milan,Feyenoord Rotterdam,1,1,1,0,D
2024-25,2025-02-18,21:00,"Playoffs, Matchday 2",Sport Lisboa e Benfica,AS Monaco FC,3,3,1,1,D
2024-25,2025-02-18,,"Playoffs, Matchday 2",FC Bayern München,Celtic FC,1,1,0,0,D
2024-25,2025-02-18,,"Playoffs, Matchday 2",Atalanta BC,Club Brugge KV,1,3,0,3,A
2024-25,2025-02-19,18:45,"Playoffs, Matchday 2",Borussia Dortmund,Sporting Clube de Portugal,0,0,,,D
2024-25,2025-02-19,21:00,"Playoffs, Matchday 2",Paris Saint-Germain FC,Stade Brestois 29,7,0,2,0,H
2024-25,2025-02-19,,"Playoffs, Matchday 2",Real Madrid CF,Manchester City FC,3,1,2,0,H
2024-25,2025-02-19,,"Playoffs, Matchday 2",PSV,Juventus FC,3,1,0,0,H
2024-25,2025-03-04,18:45,"Finals, Round of 16",Club Brugge KV,Aston Villa FC,1,3,1,1,A
2024-25,2025-03-04,21:00,"Finals, Round of 16",Real Madrid CF,Club Atlético de Madrid,2,1,1,1,H
2024-25,2025-03-04,,"Finals, Round of 16",PSV,Arsenal FC,1,7,1,3,A
2024-25,2025-03-04,,"Finals, Round of 16",Borussia Dortmund,Lille OSC,1,1,1,0,D
2024-25,2025-03-05,18:45,"Finals, Round of 16",Feyenoord Rotterdam,FC Internazionale Milano,0,2,0,1,A
2024-25,2025-03-05,21:00,"Finals, Round of 16",Paris Saint-Germain FC,Liverpool FC,0,1,0,0,A
2024-25,2025-03-05,,"Finals, Round of 16",FC Bayern München,Bayer 04 Leverkusen,3,0,1,0,H
2024-25,2025-03-05,,"Finals, Round of 16",Sport Lisboa e Benfica,FC Barcelona,0,1,0,0,A
2024-25,2025-03-11,18:45,"Finals, Round of 16",FC Barcelona,Sport Lisboa e Benfica,3,1,3,1,H
2024-25,2025-03-11,21:00,"Finals, Round of 16",Liverpool FC,Paris Saint-Germain FC,0,1,0,1,A
2024-25,2025-03-11,,"Finals, Round of 16",FC Internazionale Milano,Feyenoord Rotterdam,2,1,1,1,H
2024-25,2025-03-11,,"Finals, Round of 16",Bayer 04 Leverkusen,FC Bayern München,0,2,0,0,A
2024-25,2025-03-12,18:45,"Finals, Round of 16",Lille OSC,Borussia Dortmund,1,2,1,0,A
2024-25,2025-03-12,21:00,"Finals, Round of 16",Aston Villa FC,Club Brugge KV,3,0,0,0,H
2024-25,2025-03-12,,"Finals, Round of 16",Club Atlético de Madrid,Real Madrid CF,1,0,1,0,H
2024-25,2025-03-12,,"Finals, Round of 16",Arsenal FC,PSV,2,2,2,1,D
2024-25,2025-04-08,21:00,"Finals, Quarterfinals",Arsenal FC,Real Madrid CF,3,0,0,0,H
2024-25,2025-04-08,,"Finals, Quarterfinals",FC Bayern München,FC Internazionale Milano,1,2,0,1,A
2024-25,2025-04-09,21:00,"Finals, Quarterfinals",Paris Saint-Germain FC,Aston Villa FC,3,1,1,1,H
2024-25,2025-04-09,,"Finals, Quarterfinals",FC Barcelona,Borussia Dortmund,4,0,1,0,H
2024-25,2025-04-15,21:00,"Finals, Quarterfinals",Aston Villa FC,Paris Saint-Germain FC,3,2,1,2,H
2024-25,2025-04-15,,"Finals, Quarterfinals",Borussia Dortmund,FC Barcelona,3,1,1,0,H
2024-25,2025-04-16,21:00,"Finals, Quarterfinals",Real Madrid CF,Arsenal FC,1,2,0,0,A
2024-25,2025-04-16,,"Finals, Quarterfinals",FC Internazionale Milano,FC Bayern München,2,2,0,0,D
2024-25,2025-04-29,21:00,"Finals, Semifinals",Arsenal FC,Paris Saint-Germain FC,0,1,0,1,A
2024-25,2025-04-30,21:00,"Finals, Semifinals",FC Barcelona,FC Internazionale Milano,3,3,2,2,D
2024-25,2025-05-06,21:00,"Finals, Semifinals",FC Internazionale Milano,FC Barcelona,4,3,2,0,H
2024-25,2025-05-07,21:00,"Finals, Semifinals",Paris Saint-Germain FC,Arsenal FC,2,1,1,0,H
2024-25,2025-05-31,21:00,"Finals, Final",Paris Saint-Germain FC,FC Internazionale Milano,5,0,2,0,H
2025-26,2025-09-16,18:45,"League, Matchday 1",Athletic Club,Arsenal FC,0,2,0,0,A
2025-26,2025-09-16,,"League, Matchday 1",PSV,Royale Union Saint-Gilloise,1,3,0,2,A
2025-26,2025-09-16,21:00,"League, Matchday 1",Juventus FC,Borussia Dortmund,4,4,0,0,D
2025-26,2025-09-16,,"League, Matchday 1",Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3,2,1,A
2025-26,2025-09-16,,"League, Matchday 1",Tottenham Hotspur FC,Villarreal CF,1,0,1,0,H
2025-26,2025-09-16,,"League, Matchday 1",Real Madrid CF,Olympique de Marseille,2,1,1,1,H
2025-26,2025-09-17,18:45,"League, Matchday 1",SK Slavia Praha,FK Bodø/Glimt,2,2,1,0,D
2025-26,2025-09-17,,"League, Matchday 1",PAE Olympiakos SFP,Paphos FC,0,0,,,D
2025-26,2025-09-17,21:00,"League, Matchday 1",AFC Ajax,FC Internazionale Milano,0,2,0,1,A
2025-26,2025-09-17,,"League, Matchday 1",Liverpool FC,Club Atlético de Madrid,3,2,2,1,H
2025-26,2025-09-17,,"League, Matchday 1",Paris Saint-Germain FC,Atalanta BC,4,0,2,0,H
2025-26,2025-09-17,,"League, Matchday 1",FC Bayern München,Chelsea FC,3,1,2,1,H
2025-26,2025-09-18,18:45,"League, Matchday 1",FC København,Bayer 04 Leverkusen,2,2,1,0,D
2025-26,2025-09-18,,"League, Matchday 1",Club Brugge KV,AS Monaco FC,4,1,3,0,H
2025-26,2025-09-18,21:00,"League, Matchday 1",Newcastle United FC,FC Barcelona,1,2,0,0,A
2025-26,2025-09-18,,"League, Matchday 1",Manchester City FC,SSC Napoli,2,0,0,0,H
2025-26,2025-09-18,,"League, Matchday 1",Eintracht Frankfurt,Galatasaray SK,5,1,3,1,H
2025-26,2025-09-18,,"League, Matchday 1",Sporting Clube de Portugal,FK Kairat,4,1,1,0,H
2025-26,2025-09-30,18:45,"League, Matchday 2",Atalanta BC,Club Brugge KV,2,1,0,1,H
2025-26,2025-09-30,,"League, Matchday 2",FK Kairat,Real Madrid CF,0,5,0,1,A
2025-26,2025-09-30,21:00,"League, Matchday 2",Galatasaray SK,Liverpool FC,1,0,1,0,H
2025-26,2025-09-30,,"League, Matchday 2",Club Atlético de Madrid,Eintracht Frankfurt,5,1,3,0,H
2025-26,2025-09-30,,"League, Matchday 2",Olympique de Marseille,AFC Ajax,4,0,3,0,H
2025-26,2025-09-30,,"League, Matchday 2",FK Bodø/Glimt,Tottenham Hotspur FC,2,2,0,0,D
2025-26,2025-09-30,,"League, Matchday 2",Paphos FC,FC Bayern München,1,5,1,4,A
2025-26,2025-09-30,,"League, Matchday 2",Chelsea FC,Sport Lisboa e Benfica,1,0,1,0,H
2025-26,2025-09-30,,"League, Matchday 2",FC Internazionale Milano,SK Slavia Praha,3,0,2,0,H
2025-26,2025-10-01,18:45,"League, Matchday 2",Qarabağ Ağdam FK,FC København,2,0,1,0,H
2025-26,2025-10-01,,"League, Matchday 2",Royale Union Saint-Gilloise,Newcastle United FC,0,4,0,2,A
2025-26,2025-10-01,21:00,"League, Matchday 2",Borussia Dortmund,Athletic Club,4,1,1,0,H
2025-26,2025-10-01,,"League, Matchday 2",FC Barcelona,Paris Saint-Germain FC,1,2,1,1,A
2025-26,2025-10-01,,"League, Matchday 2",AS Monaco FC,Manchester City FC,2,2,1,2,D
2025-26,2025-10-01,,"League, Matchday 2",Bayer 04 Leverkusen,PSV,1,1,0,0,D
2025-26,2025-10-01,,"League, Matchday 2",Arsenal FC,PAE Olympiakos SFP,2,0,1,0,H
2025-26,2025-10-01,,"League, Matchday 2",Villarreal CF,Juventus FC,2,2,1,0,D
2025-26,2025-10-01,,"League, Matchday 2",SSC Napoli,Sporting Clube de Portugal,2,1,1,0,H
2025-26,2025-10-21,18:45,"League, Matchday 3",FC Barcelona,PAE Olympiakos SFP,6,1,2,0,H
2025-26,2025-10-21,,"League, Matchday 3",FK Kairat,Paphos FC,0,0,,,D
2025-26,2025-10-21,21:00,"League, Matchday 3",Royale Union Saint-Gilloise,FC Internazionale Milano,0,4,0,2,A
2025-26,2025-10-21,,"League, Matchday 3",FC København,Borussia Dortmund,2,4,1,1,A
2025-26,2025-10-21,,"League, Matchday 3",Bayer 04 Leverkusen,Paris Saint-Germain FC,2,7,1,4,A
2025-26,2025-10-21,,"League, Matchday 3",Villarreal CF,Manchester City FC,0,2,0,2,A
2025-26,2025-10-21,,"League, Matchday 3",Arsenal FC,Club Atlético de Madrid,4,0,0,0,H
2025-26,2025-10-21,,"League, Matchday 3",Newcastle United FC,Sport Lisboa e Benfica,3,0,1,0,H
2025-26,2025-10-21,,"League, Matchday 3",PSV,SSC Napoli,6,2,2,1,H
2025-26,2025-10-22,18:45,"League, Matchday 3",Galatasaray SK,FK Bodø/Glimt,3,1,2,0,H
2025-26,2025-10-22,,"League, Matchday 3",Athletic Club,Qarabağ Ağdam FK,3,1,1,1,H
2025-26,2025-10-22,21:00,"League, Matchday 3",Eintracht Frankfurt,Liverpool FC,1,5,1,3,A
2025-26,2025-10-22,,"League, Matchday 3",Atalanta BC,SK Slavia Praha,0,0,,,D
2025-26,2025-10-22,,"League, Matchday 3",Sporting Clube de Portugal,Olympique de Marseille,2,1,0,1,H
2025-26,2025-10-22,,"League, Matchday 3",AS Monaco FC,Tottenham Hotspur FC,0,0,,,D
2025-26,2025-10-22,,"League, Matchday 3",FC Bayern München,Club Brugge KV,4,0,3,0,H
2025-26,2025-10-22,,"League, Matchday 3",Chelsea FC,AFC Ajax,5,1,4,1,H
2025-26,2025-10-22,,"League, Matchday 3",Real Madrid CF,Juventus FC,1,0,0,0,H
2025-26,2025-11-04,18:45,"League, Matchday 4",SK Slavia Praha,Arsenal FC,0,3,0,1,A
2025-26,2025-11-04,,"League, Matchday 4",SSC Napoli,Eintracht Frankfurt,0,0,,,D
2025-26,2025-11-04,21:00,"League, Matchday 4",Juventus FC,Sporting Clube de Portugal,1,1,1,1,D
2025-26,2025-11-04,,"League, Matchday 4",Club Atlético de Madrid,Royale Union Saint-Gilloise,3,1,1,0,H
2025-26,2025-11-04,,"League, Matchday 4",Tottenham Hotspur FC,FC København,4,0,1,0,H
2025-26,2025-11-04,,"League, Matchday 4",FK Bodø/Glimt,AS Monaco FC,0,1,0,1,A
2025-26,2025-11-04,,"League, Matchday 4",PAE Olympiakos SFP,PSV,1,1,1,0,D
2025-26,2025-11-04,,"League, Matchday 4",Paris Saint-Germain FC,FC Bayern München,1,2,0,2,A
2025-26,2025-11-04,,"League, Matchday 4",Liverpool FC,Real Madrid CF,1,0,0,0,H
2025-26,2025-11-05,18:45,"League, Matchday 4",Paphos FC,Villarreal CF,1,0,0,0,H
2025-26,2025-11-05,,"League, Matchday 4",Qarabağ Ağdam FK,Chelsea FC,2,2,2,1,D
2025-26,2025-11-05,21:00,"League, Matchday 4",FC Internazionale Milano,FK Kairat,2,1,1,0,H
2025-26,2025-11-05,,"League, Matchday 4",Manchester City FC,Borussia Dortmund,4,1,2,0,H
2025-26,2025-11-05,,"League, Matchday 4",Club Brugge KV,FC Barcelona,3,3,2,1,D
2025-26,2025-11-05,,"League, Matchday 4",Sport Lisboa e Benfica,Bayer 04 Leverkusen,0,1,0,0,A
2025-26,2025-11-05,,"League, Matchday 4",Olympique de Marseille,Atalanta BC,0,1,0,0,A
2025-26,2025-11-05,,"League, Matchday 4",AFC Ajax,Galatasaray SK,0,3,0,0,A
2025-26,2025-11-05,,"League, Matchday 4",Newcastle United FC,Athletic Club,2,0,1,0,H
2025-26,2025-11-25,18:45,"League, Matchday 5",AFC Ajax,Sport Lisboa e Benfica,0,2,0,1,A
2025-26,2025-11-25,,"League, Matchday 5",Galatasaray SK,Royale Union Saint-Gilloise,0,1,0,0,A
2025-26,2025-11-25,21:00,"League, Matchday 5",Borussia Dortmund,Villarreal CF,4,0,1,0,H
2025-26,2025-11-25,,"League, Matchday 5",Manchester City FC,Bayer 04 Leverkusen,0,2,0,1,A
2025-26,2025-11-25,,"League, Matchday 5",FK Bodø/Glimt,Juventus FC,2,3,1,0,A
2025-26,2025-11-25,,"League, Matchday 5",Olympique de Marseille,Newcastle United FC,2,1,0,1,H
2025-26,2025-11-25,,"League, Matchday 5",SK Slavia Praha,Athletic Club,0,0,,,D
2025-26,2025-11-25,,"League, Matchday 5",SSC Napoli,Qarabağ Ağdam FK,2,0,0,0,H
2025-26,2025-11-25,,"League, Matchday 5",Chelsea FC,FC Barcelona,3,0,1,0,H
2025-26,2025-11-26,18:45,"League, Matchday 5",Paphos FC,AS Monaco FC,2,2,1,2,D
2025-26,2025-11-26,,"League, Matchday 5",FC København,FK Kairat,3,2,1,0,H
2025-26,2025-11-26,21:00,"League, Matchday 5",Liverpool FC,PSV,1,4,1,1,A
2025-26,2025-11-26,,"League, Matchday 5",Paris Saint-Germain FC,Tottenham Hotspur FC,5,3,1,1,H
2025-26,2025-11-26,,"League, Matchday 5",Eintracht Frankfurt,Atalanta BC,0,3,0,0,A
2025-26,2025-11-26,,"League, Matchday 5",Sporting Clube de Portugal,Club Brugge KV,3,0,2,0,H
2025-26,2025-11-26,,"League, Matchday 5",Arsenal FC,FC Bayern München,3,1,1,1,H
2025-26,2025-11-26,,"League, Matchday 5",PAE Olympiakos SFP,Real Madrid CF,3,4,1,3,A
2025-26,2025-11-26,,"League, Matchday 5",Club Atlético de Madrid,FC Internazionale Milano,2,1,1,0,H
2025-26,2025-12-09,16:30,"League, Matchday 6",FK Kairat,PAE Olympiakos SFP,0,1,0,0,A
2025-26,2025-12-09,18:45,"League, Matchday 6",FC Bayern München,Sporting Clube de Portugal,3,1,0,0,H
2025-26,2025-12-09,21:00,"League, Matchday 6",FC Barcelona,Eintracht Frankfurt,2,1,0,1,H
2025-26,2025-12-09,,"League, Matchday 6",PSV,Club Atlético de Madrid,2,3,1,1,A
2025-26,2025-12-09,,"League, Matchday 6",Royale Union Saint-Gilloise,Olympique de Marseille,2,3,1,2,A
2025-26,2025-12-09,,"League, Matchday 6",Tottenham Hotspur FC,SK Slavia Praha,3,0,1,0,H
2025-26,2025-12-09,,"League, Matchday 6",AS Monaco FC,Galatasaray SK,1,0,0,0,H
2025-26,2025-12-09,,"League, Matchday 6",Atalanta BC,Chelsea FC,2,1,0,1,H
2025-26,2025-12-09,,"League, Matchday 6",FC Internazionale Milano,Liverpool FC,0,1,0,0,A
2025-26,2025-12-10,18:45,"League, Matchday 6",Villarreal CF,FC København,2,3,0,1,A
2025-26,2025-12-10,,"League, Matchday 6",Qarabağ Ağdam FK,AFC Ajax,2,4,1,1,A
